"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"10-16052011-063949";"";
"TraceParts.ClassPath";"OMRON:/F_OMRON/OMRON.050/OMRON.050.060/OMRON.050.060.020/10-16052011-063949";"";
"TraceParts.InstanceId";"10-16052011-0639498Z8LRMAGUJFF283SMAH4FVIKY";"";
"REFERENCE";"B3W-1000";"";
"DESIGN";"Tactile Switch 6 x 6 mm - Flat, Height 1.57N";"";
"SUPPLIER";"OMRON";"";
"TraceParts.PartStatus";"Published";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartVersion";"1.0.4";"";
